2025-12-31 22:45:05 acMain starting
2025-12-31 22:45:05 AC_RL telemetry configured for UDP 127.0.0.1:9876 and file AC_RL_telemetry.json
2025-12-31 22:45:05 Telemetry UDP socket created to 127.0.0.1:9876
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:22 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
2025-12-31 22:45:23 Telemetry UDP target updated to 127.0.0.1:9876 via input file
